No,Kode,Koordinat X,Koordinat Y,Tanggal,Waktu,Kondisi Cuaca,LST Referensi,Pengukuran LST 1,Pengukuran LST 2,Pengukuran LST 3,LST Aktual
1,01VEG,110.381736,-7.659466,5-Jul-2025,10:40 WIB,Cerah Berawan,33.4,31.80,31.50,31.40,31.57
2,02VEG,110.346652,-7.837944,6-Jul-2025,11:39 WIB,Cerah Sedikit Berawan,37.71,37.20,37.40,37.30,37.30
3,03VEG,110.439326,-7.641971,5-Jul-2025,11:42 WIB,Cerah Berawan,32.76,32.90,32.40,32.70,32.67
4,04VEG,110.378569,-7.766981,6-Jul-2025,09:48 WIB,Cerah Tidak Berawan,41.38,35.90,35.80,36.00,35.90
5,05VEG,110.441109,-7.71657,1-Jul-2025,10:34 WIB,Cerah Sedikit Berawan,36.49,33.10,33.20,33.50,33.27
6,06VEG,110.270582,-7.795266,3-Jul-2025,11:36 WIB,Cerah Berawan,36.76,36.40,36.10,36.20,36.23
7,07VEG,110.385159,-7.868537,6-Jul-2025,10:57 WIB,Cerah Sedikit Awan,37.88,37.70,37.40,37.30,37.47
8,08VEG,110.453509,-7.813438,30-Jun-2025,09:30 WIB,Cerah Sedikit Berawan,37.89,35.70,35.60,35.40,35.57
9,09VEG,110.400439,-7.646728,5-Jul-2025,11:10 WIB,Cerah Berawan,33.11,32.10,32.70,32.50,32.43
10,10VEG,110.262707,-7.810875,3-Jul-2025,11:56 WIB,Cerah Berawan,36.78,36.20,36.00,36.70,36.30
11,11VEG,110.360639,-7.674818,5-Jul-2025,10:24 WIB,Cerah Berawan,34.73,33.10,32.50,33.80,33.13
12,12VEG,110.449332,-7.845563,30-Jun-2025,10:22 WIB,Cerah Sedikit Berawan,34.1,35.90,36.30,36.00,36.07
13,13VEG,110.256923,-7.750507,9-Jul-2025,11:09 WIB,Cerah Berawan,34.34,32.70,32.90,33.00,32.87
14,14VEG,110.28176,-7.858776,8-Jul-2025,10:55 WIB,Cerah Sedikit Berawan,34.51,33.90,33.80,33.90,33.87
15,15VEG,110.307099,-7.752691,9-Jul-2025,11:34 WIB,Cerah Berawan,34.57,33.50,33.40,33.20,33.37
