NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Banguntapan,Bantul,29.88749578,47.61992723,36.61504651,1999,Urban
Bantul,Bantul,27.08879499,56.83047918,35.16325083,1999,Rural
Berbah,Sleman,26.93813337,49.87171895,36.31531431,1999,Rural
Cangkringan,Sleman,13.56359803,48.00182997,28.72146486,1999,Rural
Danurejan,Kota Yogyakarta,39.49676288,46.91756703,43.11957924,1999,Urban
Depok,Sleman,28.28931225,51.11446176,38.48554998,1999,Urban
Gamping,Sleman,29.28442031,45.05033383,35.31883934,1999,Urban
Gedongtengen,Kota Yogyakarta,37.58336896,46.83314437,43.17411128,1999,Urban
Godean,Sleman,27.26566444,44.05633648,34.24955021,1999,Urban
Gondokusuman,Kota Yogyakarta,35.47341639,46.51396725,41.1312692,1999,Urban
Gondomanan,Kota Yogyakarta,39.19742616,47.088953,43.33280495,1999,Urban
Jetis,Bantul,25.3895147,43.77619103,35.16540696,1999,Rural
Jetis,Kota Yogyakarta,36.01956022,46.17692764,41.73495127,1999,Urban
Kalasan,Sleman,30.34873403,52.13263076,37.42969085,1999,Rural
Kasihan,Bantul,30.00346306,46.26926152,36.69399579,1999,Urban
Kotagede,Kota Yogyakarta,31.11319008,46.68226817,39.93285275,1999,Urban
Kraton,Kota Yogyakarta,38.22340484,46.43668606,42.85786127,1999,Urban
Mantrijeron,Kota Yogyakarta,34.55725944,46.79726475,41.43982722,1999,Urban
Mergangsan,Kota Yogyakarta,35.88860896,46.95222435,42.0186959,1999,Urban
Minggir,Sleman,27.79489677,42.18029378,32.6313803,1999,Rural
Mlati,Sleman,28.79642358,45.3633281,34.93379937,1999,Urban
Moyudan,Sleman,27.52765976,41.9306442,32.73084406,1999,Rural
Ngaglik,Sleman,28.26522155,48.30724897,35.74298203,1999,Urban
Ngampilan,Kota Yogyakarta,36.94229089,47.3892933,43.2424785,1999,Urban
Ngemplak,Sleman,28.81309711,48.54100567,34.99278628,1999,Urban
Pajangan,Bantul,28.22420415,69.76021408,35.64544553,1999,Rural
Pakem,Sleman,4.312944204,41.87545619,29.06326567,1999,Rural
Pakualaman,Kota Yogyakarta,38.83062714,44.42725167,41.99651198,1999,Urban
Piyungan,Bantul,28.42486274,49.81296764,36.61389892,1999,Rural
Pleret,Bantul,28.52057439,44.52878169,35.54967022,1999,Rural
Sedayu,Bantul,27.13346042,44.54869654,34.62014561,1999,Rural
Sewon,Bantul,29.59667313,44.74000537,35.5372977,1999,Urban
Seyegan,Sleman,27.85573974,44.45230842,33.36242392,1999,Rural
Sleman,Sleman,28.44270061,47.01934049,33.93312791,1999,Rural
Tegalrejo,Kota Yogyakarta,33.04410725,45.13835231,38.98507241,1999,Urban
Turi,Sleman,20.95014816,38.72494986,28.99965314,1999,Rural
Umbulharjo,Kota Yogyakarta,31.11319008,48.03311164,40.26554006,1999,Urban
Wirobrajan,Kota Yogyakarta,36.91425535,46.28724438,42.1061249,1999,Urban
Banguntapan,Bantul,29.99864347,50.39952349,37.50345676,2004,Urban
Bantul,Bantul,30.3481098,53.32368422,36.21240473,2004,Rural
Berbah,Sleman,28.98394014,51.25046842,36.93778352,2004,Rural
Cangkringan,Sleman,17.3117776,47.20445847,30.28400044,2004,Rural
Danurejan,Kota Yogyakarta,39.85635591,49.9022381,44.66758107,2004,Urban
Depok,Sleman,29.63411742,53.40052926,40.30474034,2004,Urban
Gamping,Sleman,27.30847436,48.5428302,35.9041118,2004,Urban
Gedongtengen,Kota Yogyakarta,38.20109563,50.44147463,44.82611881,2004,Urban
Godean,Sleman,27.46967804,48.77391294,35.08667374,2004,Urban
Gondokusuman,Kota Yogyakarta,37.21916248,51.46395335,43.058532,2004,Urban
Gondomanan,Kota Yogyakarta,40.29338298,51.52559178,45.21031369,2004,Urban
Jetis,Bantul,27.46467432,44.50137444,35.57767654,2004,Rural
Jetis,Kota Yogyakarta,35.99957955,49.90304836,43.06059866,2004,Urban
Kalasan,Sleman,28.83472447,53.14350987,37.48871999,2004,Rural
Kasihan,Bantul,28.12197623,50.62201147,36.74661164,2004,Urban
Kotagede,Kota Yogyakarta,31.28844274,47.43267997,41.04492979,2004,Urban
Kraton,Kota Yogyakarta,39.12440473,51.23094482,44.09164912,2004,Urban
Mantrijeron,Kota Yogyakarta,33.43582265,49.96622911,42.51062158,2004,Urban
Mergangsan,Kota Yogyakarta,36.125674,50.56968581,43.47289775,2004,Urban
Minggir,Sleman,28.60047281,44.80498058,34.21159092,2004,Rural
Mlati,Sleman,25.20521101,49.93951603,36.10723895,2004,Urban
Moyudan,Sleman,26.30309328,45.45259986,34.46121475,2004,Rural
Ngaglik,Sleman,28.14807118,49.82871187,36.88872125,2004,Urban
Ngampilan,Kota Yogyakarta,35.35265773,48.4855022,44.49242143,2004,Urban
Ngemplak,Sleman,28.15959955,49.4001773,35.57447238,2004,Urban
Pajangan,Bantul,28.82844486,57.40199219,35.7753039,2004,Rural
Pakem,Sleman,15.29527382,44.24384276,30.38859428,2004,Rural
Pakualaman,Kota Yogyakarta,39.97877067,48.11255362,44.11412108,2004,Urban
Piyungan,Bantul,28.60905509,50.19033923,36.98956688,2004,Rural
Pleret,Bantul,29.49109521,47.48144151,37.68149136,2004,Rural
Sedayu,Bantul,27.16601478,47.25403457,34.43052495,2004,Rural
Sewon,Bantul,26.75108802,49.94355153,36.83475559,2004,Urban
Seyegan,Sleman,27.9051083,43.79258695,34.46020934,2004,Rural
Sleman,Sleman,27.54736575,50.70921445,34.98981818,2004,Rural
Tegalrejo,Kota Yogyakarta,31.36824677,48.60400994,40.90838414,2004,Urban
Turi,Sleman,21.54188183,43.05382828,30.18712243,2004,Rural
Umbulharjo,Kota Yogyakarta,31.28844274,49.41726829,41.5128245,2004,Urban
Wirobrajan,Kota Yogyakarta,34.38920578,49.31354932,42.9052715,2004,Urban
Banguntapan,Bantul,32.29228471,55.71597605,41.6579737,2009,Urban
Bantul,Bantul,32.23289841,59.93045025,39.68163001,2009,Rural
Berbah,Sleman,33.05143473,53.16796566,40.25080824,2009,Rural
Cangkringan,Sleman,18.95951017,53.60167213,31.30630328,2009,Rural
Danurejan,Kota Yogyakarta,44.33878731,50.27587573,46.57590766,2009,Urban
Depok,Sleman,32.8847329,54.5899295,42.68907155,2009,Urban
Gamping,Sleman,31.9918394,52.27702292,38.79225095,2009,Urban
Gedongtengen,Kota Yogyakarta,40.50960681,50.84491905,46.26394446,2009,Urban
Godean,Sleman,31.03625066,48.14507382,37.33318558,2009,Urban
Gondokusuman,Kota Yogyakarta,39.24469147,51.02881228,45.63664035,2009,Urban
Gondomanan,Kota Yogyakarta,42.45248187,51.49858136,46.80793172,2009,Urban
Jetis,Bantul,31.6616542,48.93193303,38.38795839,2009,Rural
Jetis,Kota Yogyakarta,40.66664437,50.51471441,46.17302088,2009,Urban
Kalasan,Sleman,30.79372443,52.42882531,39.40162407,2009,Rural
Kasihan,Bantul,30.88064451,50.32131355,39.13585394,2009,Urban
Kotagede,Kota Yogyakarta,33.17398828,50.94040803,45.36094991,2009,Urban
Kraton,Kota Yogyakarta,43.60873139,49.83953283,46.66143469,2009,Urban
Mantrijeron,Kota Yogyakarta,36.83873596,50.53912874,45.44776673,2009,Urban
Mergangsan,Kota Yogyakarta,38.81715046,53.18435659,46.14182918,2009,Urban
Minggir,Sleman,31.76191908,47.86373211,36.58623482,2009,Rural
Mlati,Sleman,29.73403124,49.21692892,37.80429669,2009,Urban
Moyudan,Sleman,30.06444036,50.51964549,36.50281924,2009,Rural
Ngaglik,Sleman,30.65608417,51.56470809,38.64219642,2009,Urban
Ngampilan,Kota Yogyakarta,41.28229317,51.34310881,46.44273639,2009,Urban
Ngemplak,Sleman,31.11363111,53.60374258,37.98519773,2009,Urban
Pajangan,Bantul,28.83368435,67.16101733,38.41868978,2009,Rural
Pakem,Sleman,18.11071527,44.98748155,31.90779401,2009,Rural
Pakualaman,Kota Yogyakarta,43.10785219,50.06719227,46.94594602,2009,Urban
Piyungan,Bantul,31.14018905,53.26645038,39.25964037,2009,Rural
Pleret,Bantul,31.6371639,51.01721541,39.49759147,2009,Rural
Sedayu,Bantul,27.91290072,54.10850713,37.24966704,2009,Rural
Sewon,Bantul,32.68986327,50.4072396,39.86998588,2009,Urban
Seyegan,Sleman,31.03625066,45.62473843,36.12764741,2009,Rural
Sleman,Sleman,29.73403124,49.88820021,36.57064708,2009,Rural
Tegalrejo,Kota Yogyakarta,36.97570506,49.51589426,43.6499501,2009,Urban
Turi,Sleman,24.09386494,42.26900672,31.74415571,2009,Rural
Umbulharjo,Kota Yogyakarta,33.17398828,52.72369101,44.95834337,2009,Urban
Wirobrajan,Kota Yogyakarta,39.35538412,49.11490674,44.47645771,2009,Urban
Banguntapan,Bantul,30.82620144,49.02551166,40.2788727,2014,Urban
Bantul,Bantul,28.05086194,48.74565503,37.67425446,2014,Rural
Berbah,Sleman,32.11491564,51.39726312,38.64294269,2014,Rural
Cangkringan,Sleman,17.88055922,48.40221835,31.32830318,2014,Rural
Danurejan,Kota Yogyakarta,42.37257119,48.60532668,45.63369785,2014,Urban
Depok,Sleman,33.19541772,52.44139552,42.70796103,2014,Urban
Gamping,Sleman,28.28595268,48.53700041,37.70370295,2014,Urban
Gedongtengen,Kota Yogyakarta,40.89546795,48.7751561,45.46753983,2014,Urban
Godean,Sleman,27.86203411,49.31004613,36.81619377,2014,Urban
Gondokusuman,Kota Yogyakarta,37.74594674,50.17546513,44.92213999,2014,Urban
Gondomanan,Kota Yogyakarta,41.84961402,49.90746024,45.89506875,2014,Urban
Jetis,Bantul,26.75771832,44.05761533,36.0565163,2014,Rural
Jetis,Kota Yogyakarta,39.29039155,48.52848978,46.06199621,2014,Urban
Kalasan,Sleman,31.05657399,48.38430743,39.62255399,2014,Rural
Kasihan,Bantul,25.66762274,48.58437713,37.55264773,2014,Urban
Kotagede,Kota Yogyakarta,33.8373132,48.86759067,44.59884874,2014,Urban
Kraton,Kota Yogyakarta,43.06716594,50.19258162,46.20357813,2014,Urban
Mantrijeron,Kota Yogyakarta,38.46806371,48.39000342,44.35470143,2014,Urban
Mergangsan,Kota Yogyakarta,37.658021,47.9028274,44.81738606,2014,Urban
Minggir,Sleman,28.46906043,41.48068239,34.13561148,2014,Rural
