NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Banguntapan,Bantul,-0.205115274,0.477755685,0.14580752,1999,Urban
Bantul,Bantul,-0.279868938,0.510183262,0.13887888,1999,Rural
Berbah,Sleman,-0.223826174,0.477436639,0.155388292,1999,Rural
Cangkringan,Sleman,-0.26561624,0.579296585,0.271374024,1999,Rural
Danurejan,Kota Yogyakarta,-0.217960485,0.233620145,-0.082254836,1999,Urban
Depok,Sleman,-0.301424549,0.448671045,0.087205376,1999,Urban
Gamping,Sleman,-0.205102077,0.534484419,0.160617847,1999,Urban
Gedongtengen,Kota Yogyakarta,-0.208000546,0.233620145,-0.077425784,1999,Urban
Godean,Sleman,-0.275185544,0.480992005,0.184887001,1999,Urban
Gondokusuman,Kota Yogyakarta,-0.261533142,0.295521097,-0.029783111,1999,Urban
Gondomanan,Kota Yogyakarta,-0.250616881,0.226752564,-0.071568912,1999,Urban
Jetis,Bantul,-0.198064395,0.534235669,0.177097523,1999,Rural
Jetis,Kota Yogyakarta,-0.271934155,0.235695309,-0.067514811,1999,Urban
Kalasan,Sleman,-0.217633967,0.521531422,0.159047745,1999,Rural
Kasihan,Bantul,-0.21659932,0.403325752,0.134665483,1999,Urban
Kotagede,Kota Yogyakarta,-0.26644426,0.398548379,0.04550769,1999,Urban
Kraton,Kota Yogyakarta,-0.278390348,0.180082676,-0.06314631,1999,Urban
Mantrijeron,Kota Yogyakarta,-0.185784261,0.306135946,-0.002783885,1999,Urban
Mergangsan,Kota Yogyakarta,-0.22224255,0.341386609,-0.028915863,1999,Urban
Minggir,Sleman,-0.17359863,0.519831929,0.23723685,1999,Rural
Mlati,Sleman,-0.231091243,0.539237442,0.15794222,1999,Urban
Moyudan,Sleman,-0.196714377,0.471803282,0.223798735,1999,Rural
Ngaglik,Sleman,-0.227614425,0.453369939,0.139950956,1999,Urban
Ngampilan,Kota Yogyakarta,-0.229493859,0.220885416,-0.084580372,1999,Urban
Ngemplak,Sleman,-0.278987284,0.457056445,0.170040342,1999,Urban
Pajangan,Bantul,-0.191092878,0.534936468,0.121308072,1999,Rural
Pakem,Sleman,-0.312760598,0.615154918,0.229374245,1999,Rural
Pakualaman,Kota Yogyakarta,-0.371741196,0.275937446,-0.073877234,1999,Urban
Piyungan,Bantul,-0.233136483,0.462499801,0.11155146,1999,Rural
Pleret,Bantul,-0.187533219,0.47307831,0.136857846,1999,Rural
Sedayu,Bantul,-0.202890152,0.508101071,0.171796637,1999,Rural
Sewon,Bantul,-0.355379065,0.506902408,0.157201636,1999,Urban
Seyegan,Sleman,-0.185622021,0.489576977,0.208294064,1999,Rural
Sleman,Sleman,-0.329176114,0.466108627,0.17280814,1999,Rural
Tegalrejo,Kota Yogyakarta,-0.244786107,0.388149553,0.026859425,1999,Urban
Turi,Sleman,-0.231030532,0.48780441,0.266317094,1999,Rural
Umbulharjo,Kota Yogyakarta,-0.371741196,0.482329946,0.052651055,1999,Urban
Wirobrajan,Kota Yogyakarta,-0.216919357,0.251698676,-0.024870698,1999,Urban
Banguntapan,Bantul,-0.294072344,0.499729035,0.149012313,2004,Urban
Bantul,Bantul,-0.289122091,0.493849842,0.213935014,2004,Rural
Berbah,Sleman,-0.277608938,0.695879473,0.190713152,2004,Rural
Cangkringan,Sleman,-0.26571226,0.625246122,0.274580783,2004,Rural
Danurejan,Kota Yogyakarta,-0.257880055,0.199008255,-0.091340867,2004,Urban
Depok,Sleman,-0.292494139,0.475419094,0.077328738,2004,Urban
Gamping,Sleman,-0.246702546,0.482880943,0.173911623,2004,Urban
Gedongtengen,Kota Yogyakarta,-0.261574546,0.236349072,-0.09102051,2004,Urban
Godean,Sleman,-0.316078794,0.434612207,0.191095695,2004,Urban
Gondokusuman,Kota Yogyakarta,-0.302534604,0.26541555,-0.04269392,2004,Urban
Gondomanan,Kota Yogyakarta,-0.308652302,0.247618901,-0.086067109,2004,Urban
Jetis,Bantul,-0.154571004,0.571052324,0.229365571,2004,Rural
Jetis,Kota Yogyakarta,-0.312379422,0.265623213,-0.08127851,2004,Urban
Kalasan,Sleman,-0.206581791,0.467510348,0.168960793,2004,Rural
Kasihan,Bantul,-0.274829922,0.492192312,0.152001519,2004,Urban
Kotagede,Kota Yogyakarta,-0.272082238,0.395529474,0.009980064,2004,Urban
Kraton,Kota Yogyakarta,-0.354263855,0.204082578,-0.081669741,2004,Urban
Mantrijeron,Kota Yogyakarta,-0.21860819,0.330429456,-0.019516595,2004,Urban
Mergangsan,Kota Yogyakarta,-0.253734536,0.346823964,-0.049930923,2004,Urban
Minggir,Sleman,-0.166518255,0.622215428,0.252533343,2004,Rural
Mlati,Sleman,-0.302279095,0.435324009,0.169767921,2004,Urban
Moyudan,Sleman,-0.166518255,0.672345289,0.229011092,2004,Rural
Ngaglik,Sleman,-0.270036796,0.444331389,0.1780303,2004,Urban
Ngampilan,Kota Yogyakarta,-0.237447365,0.352465781,-0.104130827,2004,Urban
Ngemplak,Sleman,-0.192770439,0.466375456,0.204547766,2004,Urban
Pajangan,Bantul,-0.208283397,0.61089766,0.16305372,2004,Rural
Pakem,Sleman,-0.288456989,0.624442297,0.242883441,2004,Rural
Pakualaman,Kota Yogyakarta,-0.239887905,0.25545676,-0.092135902,2004,Urban
Piyungan,Bantul,-0.26400545,0.427117569,0.138261372,2004,Rural
Pleret,Bantul,-0.206087324,0.501851173,0.152492716,2004,Rural
Sedayu,Bantul,-0.185957098,0.689745476,0.214816731,2004,Rural
Sewon,Bantul,-0.285120373,0.519745877,0.189911402,2004,Urban
Seyegan,Sleman,-0.145064616,0.461201826,0.220222145,2004,Rural
Sleman,Sleman,-0.569427167,0.464507537,0.207047798,2004,Rural
Tegalrejo,Kota Yogyakarta,-0.268627964,0.333167117,-0.002266921,2004,Urban
Turi,Sleman,-0.235143409,0.501453855,0.28573653,2004,Rural
Umbulharjo,Kota Yogyakarta,-0.299511834,0.401193987,0.02508149,2004,Urban
Wirobrajan,Kota Yogyakarta,-0.248319366,0.352465781,-0.046378786,2004,Urban
Banguntapan,Bantul,-0.316626189,0.580024262,0.10366853,2009,Urban
Bantul,Bantul,-0.253786506,0.441293393,0.11479059,2009,Rural
Berbah,Sleman,-0.289586872,0.578284727,0.136531508,2009,Rural
Cangkringan,Sleman,-0.225303165,0.486318256,0.26395768,2009,Rural
Danurejan,Kota Yogyakarta,-0.266022171,0.215090822,-0.095571991,2009,Urban
Depok,Sleman,-0.480531331,0.462512819,0.043822309,2009,Urban
Gamping,Sleman,-0.360906667,0.604852609,0.139893727,2009,Urban
Gedongtengen,Kota Yogyakarta,-0.256851795,0.215090822,-0.093093217,2009,Urban
Godean,Sleman,-0.287852917,0.499346346,0.163105418,2009,Urban
Gondokusuman,Kota Yogyakarta,-0.245784639,0.262619044,-0.053498248,2009,Urban
Gondomanan,Kota Yogyakarta,-0.301728156,0.311709323,-0.079772532,2009,Urban
Jetis,Bantul,-0.187286089,0.573115876,0.186530066,2009,Rural
Jetis,Kota Yogyakarta,-0.315470614,0.228378664,-0.083929582,2009,Urban
Kalasan,Sleman,-0.291000466,0.460844142,0.134886734,2009,Rural
Kasihan,Bantul,-0.328582548,0.471760894,0.122432181,2009,Urban
Kotagede,Kota Yogyakarta,-0.27599122,0.399382539,-0.014885062,2009,Urban
Kraton,Kota Yogyakarta,-0.345706789,0.19707673,-0.086183164,2009,Urban
Mantrijeron,Kota Yogyakarta,-0.221604436,0.339445193,-0.040464756,2009,Urban
Mergangsan,Kota Yogyakarta,-0.244042344,0.39022386,-0.049871789,2009,Urban
Minggir,Sleman,-0.174520064,0.576119195,0.204992943,2009,Rural
Mlati,Sleman,-0.304544219,0.487840915,0.133949728,2009,Urban
Moyudan,Sleman,-0.174520064,0.52026181,0.198942834,2009,Rural
Ngaglik,Sleman,-0.232940581,0.443185952,0.120452215,2009,Urban
Ngampilan,Kota Yogyakarta,-0.233786723,0.329467845,-0.106268569,2009,Urban
Ngemplak,Sleman,-0.226218878,0.458743192,0.151109289,2009,Urban
Pajangan,Bantul,-0.458979143,0.548947277,0.153362734,2009,Rural
Pakem,Sleman,-0.555225257,0.59458177,0.23196607,2009,Rural
Pakualaman,Kota Yogyakarta,-0.227500514,0.29557008,-0.098100693,2009,Urban
Piyungan,Bantul,-0.335490622,0.437598858,0.109487505,2009,Rural
Pleret,Bantul,-0.392026699,0.453601933,0.115335393,2009,Rural
Sedayu,Bantul,-0.215012741,0.550503202,0.181827984,2009,Rural
Sewon,Bantul,-0.278390361,0.516213348,0.124729834,2009,Urban
Seyegan,Sleman,-0.213961814,0.492726432,0.193501459,2009,Rural
Sleman,Sleman,-0.312606212,0.529052773,0.158659407,2009,Rural
Tegalrejo,Kota Yogyakarta,-0.283609179,0.310847625,-0.025653726,2009,Urban
Turi,Sleman,-0.215975498,0.457071916,0.273923751,2009,Rural
Umbulharjo,Kota Yogyakarta,-0.253323503,0.422429778,0.007491626,2009,Urban
Wirobrajan,Kota Yogyakarta,-0.23074334,0.329467845,-0.061526484,2009,Urban
Banguntapan,Bantul,-0.236232501,0.511287367,0.119090994,2014,Urban
Bantul,Bantul,-0.284573373,0.538765266,0.162183488,2014,Rural
Berbah,Sleman,-0.225451378,0.436396748,0.168550094,2014,Rural
Cangkringan,Sleman,-0.819096965,0.516277078,0.264158651,2014,Rural
Danurejan,Kota Yogyakarta,-0.241730098,0.313969303,-0.0669064,2014,Urban
Depok,Sleman,-0.28648711,0.449685911,0.061537634,2014,Urban
Gamping,Sleman,-0.345838173,0.448691866,0.154640837,2014,Urban
Gedongtengen,Kota Yogyakarta,-0.202190549,0.313969303,-0.064878178,2014,Urban
Godean,Sleman,-0.244459693,0.475225845,0.177667845,2014,Urban
Gondokusuman,Kota Yogyakarta,-0.246643317,0.310704142,-0.027420255,2014,Urban
Gondomanan,Kota Yogyakarta,-0.239511156,0.285758623,-0.057953945,2014,Urban
Jetis,Bantul,-0.140435487,0.521286051,0.214272594,2014,Rural
Jetis,Kota Yogyakarta,-0.270926111,0.248061783,-0.058704226,2014,Urban
Kalasan,Sleman,-0.235198209,0.514826632,0.156962328,2014,Rural
Kasihan,Bantul,-0.243485968,0.456454047,0.14807138,2014,Urban
Kotagede,Kota Yogyakarta,-0.237194466,0.446494002,0.001779744,2014,Urban
Kraton,Kota Yogyakarta,-0.271868049,0.209806466,-0.061905191,2014,Urban
Mantrijeron,Kota Yogyakarta,-0.21820202,0.379503841,-0.023654327,2014,Urban
Mergangsan,Kota Yogyakarta,-0.241731358,0.397539121,-0.03933636,2014,Urban
Minggir,Sleman,-0.12976488,0.513463606,0.21797083,2014,Rural
Mlati,Sleman,-0.329702738,0.475947597,0.146488548,2014,Urban
Moyudan,Sleman,-0.133152135,0.432071484,0.21567741,2014,Rural
Ngaglik,Sleman,-0.225870484,0.527219033,0.153274649,2014,Urban
Ngampilan,Kota Yogyakarta,-0.211768556,0.306004886,-0.079884099,2014,Urban
Ngemplak,Sleman,-0.182351334,0.450656592,0.184831281,2014,Urban
Pajangan,Bantul,-0.266464307,0.516154909,0.20431438,2014,Rural
Pakem,Sleman,-0.252305676,0.563697142,0.264084992,2014,Rural
Pakualaman,Kota Yogyakarta,-0.200019631,0.182789639,-0.067441479,2014,Urban
Piyungan,Bantul,-0.283244185,0.434439894,0.160673532,2014,Rural
Pleret,Bantul,-0.189454242,0.491710776,0.162229015,2014,Rural
Sedayu,Bantul,-0.244754051,0.503692762,0.218656352,2014,Rural
Sewon,Bantul,-0.28419145,0.509350104,0.142004436,2014,Urban
Seyegan,Sleman,-0.174504922,0.503806315,0.216531279,2014,Rural
Sleman,Sleman,-0.314389143,0.445341978,0.179214176,2014,Rural
Tegalrejo,Kota Yogyakarta,-0.255811151,0.425674013,-0.004646253,2014,Urban
Turi,Sleman,-0.194671011,0.480375084,0.303235597,2014,Rural
Umbulharjo,Kota Yogyakarta,-0.251265677,0.488412654,0.00778155,2014,Urban
Wirobrajan,Kota Yogyakarta,-0.212146939,0.306004886,-0.037045207,2014,Urban
Banguntapan,Bantul,-0.280628039,0.485482516,0.093209066,2019,Urban
Bantul,Bantul,-0.374288893,0.430427439,0.154742242,2019,Rural
Berbah,Sleman,-0.328310093,0.462358928,0.154871566,2019,Rural
Cangkringan,Sleman,-0.940327505,0.490782362,0.259510319,2019,Rural
Danurejan,Kota Yogyakarta,-0.227659233,0.300009741,-0.08389967,2019,Urban
Depok,Sleman,-0.284666098,0.451584517,0.037429119,2019,Urban
Gamping,Sleman,-0.359960163,0.445288588,0.128190163,2019,Urban
Gedongtengen,Kota Yogyakarta,-0.236887603,0.300009741,-0.079932721,2019,Urban
Godean,Sleman,-0.249553745,0.465878114,0.152672029,2019,Urban
Gondokusuman,Kota Yogyakarta,-0.26918446,0.317911523,-0.051384581,2019,Urban
Gondomanan,Kota Yogyakarta,-0.247457674,0.287855305,-0.072627445,2019,Urban
Jetis,Bantul,-0.20137053,0.543317199,0.17971581,2019,Rural
Jetis,Kota Yogyakarta,-0.271933382,0.378147829,-0.074370698,2019,Urban
Kalasan,Sleman,-0.269281584,0.536473227,0.149691039,2019,Rural
Kasihan,Bantul,-0.279295769,0.466165533,0.122550812,2019,Urban
Kotagede,Kota Yogyakarta,-0.270059152,0.437498692,-0.037203882,2019,Urban
