ndviLandsat,ndviSentinel
0.7695927,0.7804043
0.42553943,0.25828862
0.8055475,0.7927612
0.4122651,0.36727333
0.7663271,0.7647581
0.86082345,0.84973836
0.4175327,0.37196183
0.118308574,0.02499534
0.7794103,0.72503495
0.5672773,0.48687288
0.35796294,0.32907403
0.74189687,0.59412956
0.6929308,0.5654933
0.83504504,0.7312611
0.69437355,0.59012735
0.52724606,0.61305666
0.6441909,0.52268386
0.35796496,0.39874431
0.7540045,0.638099
0.50326556,0.45241088
0.7367672,0.5371428
0.4742206,0.33548716
0.68934083,0.62114775
0.64102644,0.6014538
0.7307332,0.75552243
0.70727545,0.67460626
0.56228876,0.37023246
0.53229374,0.547456
0.6666399,0.618984
0.4263474,0.40680435
0.3928192,0.3593233
0.6409846,0.6337073
0.8018659,0.72360057
0.4166192,0.34116584
0.6795768,0.7673714
0.77615213,0.7949982
0.2896597,0.20903938
0.67848366,0.57340467
0.8432432,0.81193244
0.7296212,0.7057993
0.25185552,0.20262273
0.6650838,0.6729892
0.7206882,0.6724235
0.43972275,0.4758199
0.37654954,0.31254256
0.74182534,0.7326298
0.39510247,0.20058031
0.6833542,0.55617
0.5898726,0.45848686
0.7488579,0.70528364
0.34717146,0.2396108
0.65633994,0.60679024
0.60725975,0.58761775
0.6118837,0.5420265
0.4718547,0.45575213
0.80079806,0.77561605
0.81251043,0.79827756
0.53913206,0.49320436
0.36931852,0.29352027
0.31956568,0.26005518
0.2731313,0.15030818
0.71546966,0.59863377
0.5436732,0.5457506
0.30133998,0.30839354
0.7271415,0.6689201
0.6802829,0.62603974
0.6954732,0.69801366
0.74145293,0.6268824
0.7767657,0.7437053
0.7620052,0.74248254
0.41464972,0.33246943
0.63919574,0.5870666
0.3739127,0.17113191
0.64332104,0.6577067
0.7618589,0.709991
0.622506,0.59996784
0.66935945,0.6218938
0.620965,0.5026614
0.521781,0.41321012
0.3119009,0.25379455
0.7896253,0.6843668
0.44093046,0.42758536
0.7528781,0.6331926
0.5779246,0.43560833
0.44794542,0.34583107
0.55261,0.50877064
0.528766,0.4914544
0.6248557,0.6540715
0.669905,0.6062917
0.5874609,0.5387305
0.55925333,0.5809674
0.7415598,0.78828156
0.8193601,0.6423612
0.6140178,0.6202678
0.6459681,0.69219154
0.6654307,0.63522637
0.5206982,0.5028067
0.78132784,0.7287972
0.5454433,0.38117945
0.76405,0.7088466
0.37929168,0.43411335
0.40036613,0.19073473
0.13031359,0.05137227
0.54722637,0.4639258
0.675458,0.5199523
0.513366,0.44592533
0.660285,0.6178718
0.34175876,0.24843785
0.65712357,0.59022254
0.6786056,0.5842726
0.5240316,0.5164366
0.7299875,0.6999025
0.43487146,0.42086715
0.28254563,0.18457465
0.8506395,0.81620014
0.65300107,0.5846687
0.78367054,0.6642656
0.6337108,0.60099596
