NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Banguntapan,Bantul,0.096121323,0.764356752,0.487773764,1999,Urban
Bantul,Bantul,-0.101340296,0.756904469,0.509695132,1999,Rural
Berbah,Sleman,0.063452012,0.805217755,0.517087535,1999,Rural
Cangkringan,Sleman,0.038395856,0.867543962,0.660722933,1999,Rural
Danurejan,Kota Yogyakarta,0.088845442,0.49873432,0.246831255,1999,Urban
Depok,Sleman,0.042919753,0.802293304,0.439166749,1999,Urban
Gamping,Sleman,0.119253692,0.755352405,0.510116558,1999,Urban
Gedongtengen,Kota Yogyakarta,0.099486904,0.598077898,0.249536321,1999,Urban
Godean,Sleman,0.112558252,0.79904,0.528051459,1999,Urban
Gondokusuman,Kota Yogyakarta,-0.098597807,0.682123207,0.292333899,1999,Urban
Gondomanan,Kota Yogyakarta,0.051438089,0.551328337,0.229095014,1999,Urban
Jetis,Bantul,-0.042517155,0.782198171,0.515214604,1999,Rural
Jetis,Kota Yogyakarta,-0.082280655,0.558730299,0.255388581,1999,Urban
Kalasan,Sleman,0.048642495,0.82340801,0.519024173,1999,Rural
Kasihan,Bantul,0.098980163,0.745828421,0.496504226,1999,Urban
Kotagede,Kota Yogyakarta,0.110776284,0.755735643,0.407809197,1999,Urban
Kraton,Kota Yogyakarta,0.115369535,0.515895848,0.278229968,1999,Urban
Mantrijeron,Kota Yogyakarta,0.119378424,0.682827284,0.347921135,1999,Urban
Mergangsan,Kota Yogyakarta,0.104841514,0.685810343,0.306815034,1999,Urban
Minggir,Sleman,-0.074751699,0.800166461,0.575014793,1999,Rural
Mlati,Sleman,0.066895822,0.778060085,0.517239312,1999,Urban
Moyudan,Sleman,-0.091789123,0.799395389,0.579876138,1999,Rural
Ngaglik,Sleman,0.101879706,0.799437911,0.503144038,1999,Urban
Ngampilan,Kota Yogyakarta,0.105092244,0.613626749,0.268140248,1999,Urban
Ngemplak,Sleman,0.145530286,0.844812522,0.541850195,1999,Urban
Pajangan,Bantul,-0.119976433,0.756079802,0.509502424,1999,Rural
Pakem,Sleman,0.026007461,0.883776461,0.624827507,1999,Rural
Pakualaman,Kota Yogyakarta,0.136877332,0.549583571,0.274585245,1999,Urban
Piyungan,Bantul,0.139860199,0.791420729,0.506663129,1999,Rural
Pleret,Bantul,0.181702453,0.764208763,0.517018796,1999,Rural
Sedayu,Bantul,-0.132568469,0.779557126,0.538198008,1999,Rural
Sewon,Bantul,0.037261069,0.784370308,0.502757164,1999,Urban
Seyegan,Sleman,0.19203219,0.790765728,0.561378628,1999,Rural
Sleman,Sleman,0.06411988,0.837119557,0.552803515,1999,Rural
Tegalrejo,Kota Yogyakarta,0.09118901,0.715612362,0.365597888,1999,Urban
Turi,Sleman,0.088660998,0.869941511,0.696253024,1999,Rural
Umbulharjo,Kota Yogyakarta,0.095788844,0.804030857,0.375856366,1999,Urban
Wirobrajan,Kota Yogyakarta,0.11306861,0.623638413,0.32170841,1999,Urban
Banguntapan,Bantul,0.028524641,0.815852886,0.520059037,2004,Urban
Bantul,Bantul,0.129478563,0.836587401,0.615122727,2004,Rural
Berbah,Sleman,0.04776515,0.857983553,0.583369945,2004,Rural
Cangkringan,Sleman,-0.214231637,0.943616719,0.709629767,2004,Rural
Danurejan,Kota Yogyakarta,0.061003853,0.531409915,0.249449426,2004,Urban
Depok,Sleman,0.032304398,0.827201215,0.454565404,2004,Urban
Gamping,Sleman,0.067512017,0.813172932,0.557332941,2004,Urban
Gedongtengen,Kota Yogyakarta,0.037173945,0.708003773,0.269200562,2004,Urban
Godean,Sleman,0.13206182,0.83028569,0.570125568,2004,Urban
Gondokusuman,Kota Yogyakarta,0.027834589,0.687755439,0.307492605,2004,Urban
Gondomanan,Kota Yogyakarta,0.019510577,0.600296194,0.233869516,2004,Urban
Jetis,Bantul,-0.047858692,0.833286903,0.616318852,2004,Rural
Jetis,Kota Yogyakarta,0.081528502,0.622478143,0.268559699,2004,Urban
Kalasan,Sleman,0.030977777,0.842671185,0.553846982,2004,Rural
Kasihan,Bantul,0.071742993,0.823848504,0.565560918,2004,Urban
Kotagede,Kota Yogyakarta,0.091374317,0.804028138,0.39954137,2004,Urban
Kraton,Kota Yogyakarta,0.103975718,0.618786327,0.313690738,2004,Urban
Mantrijeron,Kota Yogyakarta,0.103975718,0.771729023,0.375485831,2004,Urban
Mergangsan,Kota Yogyakarta,0.114264602,0.735999267,0.321616423,2004,Urban
Minggir,Sleman,-0.024821361,0.842253499,0.623335912,2004,Rural
Mlati,Sleman,0.026311887,0.857580036,0.564736843,2004,Urban
Moyudan,Sleman,-0.155818132,0.842248363,0.605215605,2004,Rural
Ngaglik,Sleman,0.048454724,0.873974433,0.577268095,2004,Urban
Ngampilan,Kota Yogyakarta,0.087072906,0.738678715,0.288910413,2004,Urban
Ngemplak,Sleman,0.129727147,0.868260821,0.607183143,2004,Urban
Pajangan,Bantul,-0.108895533,0.848551235,0.617910167,2004,Rural
Pakem,Sleman,-0.178388757,0.907965542,0.673520329,2004,Rural
Pakualaman,Kota Yogyakarta,0.124159298,0.592543024,0.279236313,2004,Urban
Piyungan,Bantul,0.097746195,0.840881201,0.560536988,2004,Rural
Pleret,Bantul,0.15923178,0.821562421,0.574329905,2004,Rural
Sedayu,Bantul,-0.136404078,0.858330457,0.624425479,2004,Rural
Sewon,Bantul,0.047787185,0.835593499,0.572280978,2004,Urban
Seyegan,Sleman,0.121510907,0.84564743,0.619006542,2004,Rural
Sleman,Sleman,0.051461401,0.845282962,0.608959225,2004,Rural
Tegalrejo,Kota Yogyakarta,0.063961077,0.752774149,0.369170191,2004,Urban
Turi,Sleman,0.121289125,0.91226606,0.758064133,2004,Rural
Umbulharjo,Kota Yogyakarta,0.052167481,0.766175176,0.371696308,2004,Urban
Wirobrajan,Kota Yogyakarta,0.134603419,0.738678715,0.353032696,2004,Urban
Banguntapan,Bantul,0.035251869,0.822879714,0.472035304,2009,Urban
Bantul,Bantul,0.051140634,0.784933413,0.518630912,2009,Rural
Berbah,Sleman,-0.029958221,0.820643969,0.522031264,2009,Rural
Cangkringan,Sleman,-0.024752734,0.873573404,0.69193063,2009,Rural
Danurejan,Kota Yogyakarta,0.067108613,0.547142236,0.243811005,2009,Urban
Depok,Sleman,0.020402497,0.824881293,0.419381479,2009,Urban
Gamping,Sleman,0.021767625,0.794854364,0.52007982,2009,Urban
Gedongtengen,Kota Yogyakarta,0.091809274,0.626691005,0.259550286,2009,Urban
