No,Kode,Koordinat X,Koordinat Y,PL Klasifikasi,PL Aktual
1,01VEG19,110.427427,-7.560805,Vegetasi,Vegetasi
2,02VEG19,110.321786,-7.89444,Vegetasi,Vegetasi
3,03VEG19,110.439555,-7.642193,Vegetasi,Vegetasi
4,04VEG19,110.420151,-7.581556,Vegetasi,Vegetasi
5,05VEG19,110.439824,-7.716304,Vegetasi,Vegetasi
6,06VEG19,110.270582,-7.795266,Vegetasi,Vegetasi
7,07VEG19,110.440201,-7.772206,Vegetasi,Vegetasi
8,08VEG19,110.387542,-7.875575,Vegetasi,Vegetasi
9,09VEG19,110.45249,-7.812783,Vegetasi,Vegetasi
10,10VEG19,110.405598,-7.627101,Vegetasi,Vegetasi
11,11VEG19,110.360593,-7.675071,Vegetasi,Vegetasi
12,12VEG19,110.473242,-7.689354,Vegetasi,Vegetasi
13,13VEG19,110.449526,-7.844853,Vegetasi,Vegetasi
14,14VEG19,110.328793,-7.701482,Vegetasi,Vegetasi
15,15VEG19,110.262227,-7.832186,Vegetasi,Lahan Terbuka
16,16VEG19,110.299687,-7.857788,Vegetasi,Vegetasi
17,17VEG19,110.385798,-7.72059,Vegetasi,Lahan Terbangun
18,18VEG19,110.44737,-7.69151,Vegetasi,Vegetasi
19,19VEG19,110.480518,-7.742445,Vegetasi,Vegetasi
20,20VEG19,110.42,-7.786927,Vegetasi,Vegetasi
21,21VEG19,110.229603,-7.727726,Vegetasi,Vegetasi
22,22VEG19,110.459767,-7.801464,Vegetasi,Vegetasi
23,23VEG19,110.337686,-7.774784,Vegetasi,Vegetasi
24,24VEG19,110.317204,-7.890936,Vegetasi,Vegetasi
25,25VEG19,110.443787,-7.79616,Vegetasi,Vegetasi
26,26VEG19,110.424463,-7.855093,Vegetasi,Vegetasi
27,27VEG19,110.409371,-7.672646,Vegetasi,Vegetasi
28,28VEG19,110.254682,-7.857788,Vegetasi,Vegetasi
29,29VEG19,110.342085,-7.780578,Vegetasi,Vegetasi
30,30VEG19,110.237434,-7.810357,Vegetasi,Vegetasi
31,31VEG19,110.341728,-7.914113,Vegetasi,Lahan Terbangun
32,32VEG19,110.408832,-7.594492,Vegetasi,Vegetasi
33,33VEG19,110.380535,-7.890936,Vegetasi,Vegetasi
34,34VEG19,110.455455,-7.654589,Vegetasi,Vegetasi
35,35VEG19,110.349005,-7.768047,Vegetasi,Vegetasi
36,36AIR19,110.413892,-7.755128,Tubuh Air,Tubuh Air
37,37AIR19,110.221849,-7.772917,Tubuh Air,Tubuh Air
38,38URB19,110.299148,-7.805237,Lahan Terbangun,Lahan Terbangun
39,39URB19,110.428236,-7.825449,Lahan Terbangun,Lahan Terbangun
40,40URB19,110.275305,-7.743119,Lahan Terbangun,Lahan Terbangun
41,41URB19,110.262227,-7.811166,Lahan Terbangun,Lahan Terbuka
42,42URB19,110.422307,-7.81952,Lahan Terbangun,Lahan Terbangun
43,43URB19,110.39401,-7.845661,Lahan Terbangun,Lahan Terbangun
44,44URB19,110.32502,-7.781791,Lahan Terbangun,Lahan Terbangun
45,45URB19,110.396975,-7.8144,Lahan Terbangun,Lahan Terbangun
46,46URB19,110.288638,-7.879078,Lahan Terbangun,Lahan Terbangun
47,47URB19,110.433626,-7.786911,Lahan Terbangun,Lahan Terbangun
48,48URB19,110.260341,-7.727622,Lahan Terbangun,Lahan Terbangun
49,49URB19,110.360039,-7.810008,Lahan Terbangun,Lahan Terbangun
50,50OPE19,110.269072,-7.738741,Lahan Terbuka,Lahan Terbuka
51,51OPE19,110.248663,-7.833291,Lahan Terbuka,Lahan Terbuka
