No,Kode,Koordinat X,Koordinat Y,PL Referensi,PL Aktual
1,01VEG24,110.381736,-7.659466,Vegetasi,Vegetasi
2,02VEG24,110.346652,-7.837944,Vegetasi,Vegetasi
3,03VEG24,110.439326,-7.641971,Vegetasi,Vegetasi
4,04VEG24,110.378569,-7.766981,Vegetasi,Vegetasi
5,05VEG24,110.441109,-7.71657,Vegetasi,Vegetasi
6,06VEG24,110.270582,-7.795266,Vegetasi,Vegetasi
7,07VEG24,110.385159,-7.868537,Vegetasi,Vegetasi
8,08VEG24,110.453509,-7.813438,Vegetasi,Vegetasi
9,09VEG24,110.400439,-7.646728,Vegetasi,Vegetasi
10,10VEG24,110.262707,-7.810875,Vegetasi,Vegetasi
11,11VEG24,110.360639,-7.674818,Vegetasi,Vegetasi
12,12VEG24,110.449332,-7.845563,Vegetasi,Vegetasi
13,13VEG24,110.256923,-7.750507,Vegetasi,Vegetasi
14,14VEG24,110.28176,-7.858776,Vegetasi,Vegetasi
15,15VEG24,110.307099,-7.752691,Vegetasi,Vegetasi
16,16VEG24,110.448133,-7.692001,Vegetasi,Vegetasi
17,17VEG24,110.480613,-7.742236,Vegetasi,Vegetasi
18,18VEG24,110.439839,-7.785076,Vegetasi,Vegetasi
19,19VEG24,110.262171,-7.749999,Vegetasi,Vegetasi
20,20VEG24,110.458501,-7.799349,Vegetasi,Vegetasi
21,21VEG24,110.329535,-7.876012,Vegetasi,Vegetasi
22,22VEG24,110.32739,-7.728747,Vegetasi,Vegetasi
23,23VEG24,110.408788,-7.673103,Vegetasi,Vegetasi
24,24VEG24,110.364119,-7.859659,Vegetasi,Vegetasi
25,25VEG24,110.272273,-7.84879,Vegetasi,Vegetasi
26,26VEG24,110.39804,-7.807106,Vegetasi,Vegetasi
27,27VEG24,110.389453,-7.682098,Vegetasi,Vegetasi
28,28VEG24,110.456502,-7.6547,Vegetasi,Vegetasi
29,29VEG24,110.348886,-7.768935,Vegetasi,Vegetasi
30,30VEG24,110.366168,-7.745041,Vegetasi,Vegetasi
31,31AIR24,110.382861,-7.769485,Tubuh Air,Tubuh Air
32,32AIR24,110.419748,-7.798247,Tubuh Air,Tubuh Air
33,33AIR24,110.413079,-7.755576,Tubuh Air,Tubuh Air
34,34URB24,110.433629,-7.771719,Lahan Terbangun,Lahan Terbangun
35,35URB24,110.299102,-7.80532,Lahan Terbangun,Lahan Terbangun
36,36URB24,110.428236,-7.825449,Lahan Terbangun,Lahan Terbangun
37,37URB24,110.375651,-7.79708,Lahan Terbangun,Lahan Terbangun
38,38URB24,110.47327,-7.689224,Lahan Terbangun,Lahan Terbangun
39,39URB24,110.422408,-7.81942,Lahan Terbangun,Lahan Terbangun
40,40URB24,110.394102,-7.845537,Lahan Terbangun,Lahan Terbangun
41,41URB24,110.37604,-7.711978,Lahan Terbangun,Lahan Terbangun
42,42URB24,110.324719,-7.781957,Lahan Terbangun,Lahan Terbangun
43,43URB24,110.397159,-7.814689,Lahan Terbangun,Lahan Terbangun
44,44URB24,110.434856,-7.78548,Lahan Terbangun,Lahan Terbangun
45,45URB24,110.314506,-7.730388,Lahan Terbangun,Lahan Terbangun
46,46OPE24,110.337872,-7.775534,Lahan Terbuka,Lahan Terbangun
47,47OPE24,110.445252,-7.795427,Lahan Terbuka,Lahan Terbangun
48,48OPE24,110.342632,-7.780952,Lahan Terbuka,Lahan Terbangun
49,49OPE24,110.288762,-7.879364,Lahan Terbuka,Vegetasi
50,50OPE24,110.380586,-7.890925,Lahan Terbuka,Lahan Terbangun
51,51OPE24,110.384531,-7.76997,Lahan Terbuka,Lahan Terbangun
