NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Banguntapan,Bantul,47.62,36.62,29.89,1999,Urban
Bantul,Bantul,56.83,35.16,27.09,1999,Rural
Berbah,Sleman,49.87,36.32,26.94,1999,Rural
Cangkringan,Sleman,48,28.72,13.56,1999,Rural
Danurejan,Kota Yogyakarta,46.92,43.12,39.5,1999,Urban
Depok,Sleman,51.11,38.49,28.29,1999,Urban
Gamping,Sleman,45.05,35.32,29.28,1999,Urban
Gedongtengen,Kota Yogyakarta,46.83,43.17,37.58,1999,Urban
Godean,Sleman,44.06,34.25,27.27,1999,Urban
Gondokusuman,Kota Yogyakarta,46.51,41.13,35.47,1999,Urban
Gondomanan,Kota Yogyakarta,47.09,43.33,39.2,1999,Urban
Jetis,Bantul,43.78,35.17,25.39,1999,Rural
Jetis,Kota Yogyakarta,46.18,41.73,36.02,1999,Urban
Kalasan,Sleman,52.13,37.43,30.35,1999,Rural
Kasihan,Bantul,46.27,36.69,30,1999,Urban
Kotagede,Kota Yogyakarta,46.68,39.93,31.11,1999,Urban
Kraton,Kota Yogyakarta,46.44,42.86,38.22,1999,Urban
Mantrijeron,Kota Yogyakarta,46.8,41.44,34.56,1999,Urban
Mergangsan,Kota Yogyakarta,46.95,42.02,35.89,1999,Urban
Minggir,Sleman,42.18,32.63,27.79,1999,Rural
Mlati,Sleman,45.36,34.93,28.8,1999,Urban
Moyudan,Sleman,41.93,32.73,27.53,1999,Rural
Ngaglik,Sleman,48.31,35.74,28.27,1999,Urban
Ngampilan,Kota Yogyakarta,47.39,43.24,36.94,1999,Urban
Ngemplak,Sleman,48.54,34.99,28.81,1999,Urban
Pajangan,Bantul,69.76,35.65,28.22,1999,Rural
Pakem,Sleman,41.88,29.06,4.31,1999,Rural
Pakualaman,Kota Yogyakarta,44.43,42,38.83,1999,Urban
Piyungan,Bantul,49.81,36.61,28.42,1999,Rural
Pleret,Bantul,44.53,35.55,28.52,1999,Rural
Sedayu,Bantul,44.55,34.62,27.13,1999,Rural
Sewon,Bantul,44.74,35.54,29.6,1999,Urban
Seyegan,Sleman,44.45,33.36,27.86,1999,Rural
Sleman,Sleman,47.02,33.93,28.44,1999,Rural
Tegalrejo,Kota Yogyakarta,45.14,38.99,33.04,1999,Urban
Turi,Sleman,38.72,29,20.95,1999,Rural
Umbulharjo,Kota Yogyakarta,48.03,40.27,31.11,1999,Urban
Wirobrajan,Kota Yogyakarta,46.29,42.11,36.91,1999,Urban
Banguntapan,Bantul,50.4,37.5,30,2004,Urban
Bantul,Bantul,53.32,36.21,30.35,2004,Rural
Berbah,Sleman,51.25,36.94,28.98,2004,Rural
Cangkringan,Sleman,47.2,30.28,17.31,2004,Rural
Danurejan,Kota Yogyakarta,49.9,44.67,39.86,2004,Urban
Depok,Sleman,53.4,40.3,29.63,2004,Urban
Gamping,Sleman,48.54,35.9,27.31,2004,Urban
Gedongtengen,Kota Yogyakarta,50.44,44.83,38.2,2004,Urban
Godean,Sleman,48.77,35.09,27.47,2004,Urban
Gondokusuman,Kota Yogyakarta,51.46,43.06,37.22,2004,Urban
Gondomanan,Kota Yogyakarta,51.53,45.21,40.29,2004,Urban
Jetis,Bantul,44.5,35.58,27.46,2004,Rural
Jetis,Kota Yogyakarta,49.9,43.06,36,2004,Urban
Kalasan,Sleman,53.14,37.49,28.83,2004,Rural
Kasihan,Bantul,50.62,36.75,28.12,2004,Urban
Kotagede,Kota Yogyakarta,47.43,41.04,31.29,2004,Urban
Kraton,Kota Yogyakarta,51.23,44.09,39.12,2004,Urban
Mantrijeron,Kota Yogyakarta,49.97,42.51,33.44,2004,Urban
Mergangsan,Kota Yogyakarta,50.57,43.47,36.13,2004,Urban
Minggir,Sleman,44.8,34.21,28.6,2004,Rural
Mlati,Sleman,49.94,36.11,25.21,2004,Urban
Moyudan,Sleman,45.45,34.46,26.3,2004,Rural
Ngaglik,Sleman,49.83,36.89,28.15,2004,Urban
Ngampilan,Kota Yogyakarta,48.49,44.49,35.35,2004,Urban
Ngemplak,Sleman,49.4,35.57,28.16,2004,Urban
Pajangan,Bantul,57.4,35.78,28.83,2004,Rural
Pakem,Sleman,44.24,30.39,15.3,2004,Rural
Pakualaman,Kota Yogyakarta,48.11,44.11,39.98,2004,Urban
Piyungan,Bantul,50.19,36.99,28.61,2004,Rural
Pleret,Bantul,47.48,37.68,29.49,2004,Rural
Sedayu,Bantul,47.25,34.43,27.17,2004,Rural
Sewon,Bantul,49.94,36.83,26.75,2004,Urban
Seyegan,Sleman,43.79,34.46,27.91,2004,Rural
Sleman,Sleman,50.71,34.99,27.55,2004,Rural
Tegalrejo,Kota Yogyakarta,48.6,40.91,31.37,2004,Urban
Turi,Sleman,43.05,30.19,21.54,2004,Rural
Umbulharjo,Kota Yogyakarta,49.42,41.51,31.29,2004,Urban
Wirobrajan,Kota Yogyakarta,49.31,42.91,34.39,2004,Urban
Banguntapan,Bantul,55.72,41.66,32.29,2009,Urban
Bantul,Bantul,59.93,39.68,32.23,2009,Rural
Berbah,Sleman,53.17,40.25,33.05,2009,Rural
Cangkringan,Sleman,53.6,31.31,18.96,2009,Rural
Danurejan,Kota Yogyakarta,50.28,46.58,44.34,2009,Urban
Depok,Sleman,54.59,42.69,32.88,2009,Urban
Gamping,Sleman,52.28,38.79,31.99,2009,Urban
Gedongtengen,Kota Yogyakarta,50.84,46.26,40.51,2009,Urban
Godean,Sleman,48.15,37.33,31.04,2009,Urban
Gondokusuman,Kota Yogyakarta,51.03,45.64,39.24,2009,Urban
Gondomanan,Kota Yogyakarta,51.5,46.81,42.45,2009,Urban
Jetis,Bantul,48.93,38.39,31.66,2009,Rural
Jetis,Kota Yogyakarta,50.51,46.17,40.67,2009,Urban
Kalasan,Sleman,52.43,39.4,30.79,2009,Rural
Kasihan,Bantul,50.32,39.14,30.88,2009,Urban
Kotagede,Kota Yogyakarta,50.94,45.36,33.17,2009,Urban
Kraton,Kota Yogyakarta,49.84,46.66,43.61,2009,Urban
Mantrijeron,Kota Yogyakarta,50.54,45.45,36.84,2009,Urban
Mergangsan,Kota Yogyakarta,53.18,46.14,38.82,2009,Urban
Minggir,Sleman,47.86,36.59,31.76,2009,Rural
Mlati,Sleman,49.22,37.8,29.73,2009,Urban
Moyudan,Sleman,50.52,36.5,30.06,2009,Rural
Ngaglik,Sleman,51.56,38.64,30.66,2009,Urban
Ngampilan,Kota Yogyakarta,51.34,46.44,41.28,2009,Urban
Ngemplak,Sleman,53.6,37.99,31.11,2009,Urban
Pajangan,Bantul,67.16,38.42,28.83,2009,Rural
Pakem,Sleman,44.99,31.91,18.11,2009,Rural
Pakualaman,Kota Yogyakarta,50.07,46.95,43.11,2009,Urban
Piyungan,Bantul,53.27,39.26,31.14,2009,Rural
Pleret,Bantul,51.02,39.5,31.64,2009,Rural
Sedayu,Bantul,54.11,37.25,27.91,2009,Rural
Sewon,Bantul,50.41,39.87,32.69,2009,Urban
Seyegan,Sleman,45.62,36.13,31.04,2009,Rural
Sleman,Sleman,49.89,36.57,29.73,2009,Rural
Tegalrejo,Kota Yogyakarta,49.52,43.65,36.98,2009,Urban
Turi,Sleman,42.27,31.74,24.09,2009,Rural
Umbulharjo,Kota Yogyakarta,52.72,44.96,33.17,2009,Urban
Wirobrajan,Kota Yogyakarta,49.11,44.48,39.36,2009,Urban
Banguntapan,Bantul,49.03,40.28,30.83,2014,Urban
Bantul,Bantul,48.75,37.67,28.05,2014,Rural
Berbah,Sleman,51.4,38.64,32.11,2014,Rural
Cangkringan,Sleman,48.4,31.33,17.88,2014,Rural
Danurejan,Kota Yogyakarta,48.61,45.63,42.37,2014,Urban
Depok,Sleman,52.44,42.71,33.2,2014,Urban
Gamping,Sleman,48.54,37.7,28.29,2014,Urban
Gedongtengen,Kota Yogyakarta,48.78,45.47,40.9,2014,Urban
Godean,Sleman,49.31,36.82,27.86,2014,Urban
Gondokusuman,Kota Yogyakarta,50.18,44.92,37.75,2014,Urban
Gondomanan,Kota Yogyakarta,49.91,45.9,41.85,2014,Urban
Jetis,Bantul,44.06,36.06,26.76,2014,Rural
Jetis,Kota Yogyakarta,48.53,46.06,39.29,2014,Urban
Kalasan,Sleman,48.38,39.62,31.06,2014,Rural
Kasihan,Bantul,48.58,37.55,25.67,2014,Urban
Kotagede,Kota Yogyakarta,48.87,44.6,33.84,2014,Urban
Kraton,Kota Yogyakarta,50.19,46.2,43.07,2014,Urban
Mantrijeron,Kota Yogyakarta,48.39,44.35,38.47,2014,Urban
Mergangsan,Kota Yogyakarta,47.9,44.82,37.66,2014,Urban
Minggir,Sleman,41.48,34.14,28.47,2014,Rural
Mlati,Sleman,49.58,38.56,30.1,2014,Urban
Moyudan,Sleman,42.46,34.54,26.46,2014,Rural
Ngaglik,Sleman,48.95,38.57,30.07,2014,Urban
Ngampilan,Kota Yogyakarta,48.06,45.94,42.19,2014,Urban
Ngemplak,Sleman,47.9,37.23,29.49,2014,Urban
Pajangan,Bantul,43.94,35.52,25.31,2014,Rural
Pakem,Sleman,45.39,30.85,17.68,2014,Rural
Pakualaman,Kota Yogyakarta,47.63,45.22,42.15,2014,Urban
Piyungan,Bantul,46.87,35.62,26.05,2014,Rural
Pleret,Bantul,45.38,36.56,27.16,2014,Rural
Sedayu,Bantul,44.84,34.28,23.41,2014,Rural
Sewon,Bantul,50.9,38.51,29.09,2014,Urban
Seyegan,Sleman,44.22,35.73,28.47,2014,Rural
Sleman,Sleman,48.05,37.6,31.03,2014,Rural
Tegalrejo,Kota Yogyakarta,48.89,43.62,37.51,2014,Urban
Turi,Sleman,40.89,31.42,22.88,2014,Rural
Umbulharjo,Kota Yogyakarta,49.33,44.6,33.84,2014,Urban
Wirobrajan,Kota Yogyakarta,47.7,44.54,37.83,2014,Urban
Banguntapan,Bantul,47.23,39.1,31.5,2019,Urban
Bantul,Bantul,44.87,36.47,30.64,2019,Rural
Berbah,Sleman,48.94,38.4,32.93,2019,Rural
Cangkringan,Sleman,40.98,30.9,20.05,2019,Rural
Danurejan,Kota Yogyakarta,44.79,42.21,39.75,2019,Urban
Depok,Sleman,49.67,40.38,31.41,2019,Urban
Gamping,Sleman,43.71,36.39,29.59,2019,Urban
Gedongtengen,Kota Yogyakarta,44.8,41.25,37.66,2019,Urban
Godean,Sleman,44.86,35.57,28.2,2019,Urban
Gondokusuman,Kota Yogyakarta,45.79,41.72,37.95,2019,Urban
Gondomanan,Kota Yogyakarta,47.53,42.72,39.42,2019,Urban
Jetis,Bantul,44.09,36.81,31.66,2019,Rural
Jetis,Kota Yogyakarta,44.74,41.36,36.94,2019,Urban
Kalasan,Sleman,48.17,38.37,32.04,2019,Rural
Kasihan,Bantul,44.63,36.33,30.13,2019,Urban
Kotagede,Kota Yogyakarta,45.5,41.84,33.25,2019,Urban
Kraton,Kota Yogyakarta,47.33,42.72,40.02,2019,Urban
Mantrijeron,Kota Yogyakarta,44.89,41.24,35.63,2019,Urban
Mergangsan,Kota Yogyakarta,45.4,42.06,35.72,2019,Urban
Minggir,Sleman,40.68,34.33,30.46,2019,Rural
Mlati,Sleman,45.14,36.78,30.58,2019,Urban
Moyudan,Sleman,41.55,34.88,30.62,2019,Rural
Ngaglik,Sleman,45.24,37.14,31.1,2019,Urban
Ngampilan,Kota Yogyakarta,45.16,42.34,37.6,2019,Urban
Ngemplak,Sleman,44.71,36.47,30.84,2019,Urban
Pajangan,Bantul,41.72,34.07,29.65,2019,Rural
Pakem,Sleman,42.41,30.59,18.54,2019,Rural
Pakualaman,Kota Yogyakarta,44.83,42.55,40.93,2019,Urban
Piyungan,Bantul,47.39,37.1,30.6,2019,Rural
Pleret,Bantul,44.56,37.26,29.98,2019,Rural
Sedayu,Bantul,41.66,34.52,29.94,2019,Rural
Sewon,Bantul,46.12,37.64,30.51,2019,Urban
Seyegan,Sleman,40.46,34.25,28.78,2019,Rural
Sleman,Sleman,43.94,35.2,29.94,2019,Rural
Tegalrejo,Kota Yogyakarta,43.34,40.08,35.75,2019,Urban
Turi,Sleman,40.5,30.06,23.71,2019,Rural
Umbulharjo,Kota Yogyakarta,45.39,41.51,33.25,2019,Urban
Wirobrajan,Kota Yogyakarta,44.29,41.29,37.6,2019,Urban
Banguntapan,Bantul,48.91,40.81,34.61,2024,Urban
Bantul,Bantul,46.27,39.31,34.25,2024,Rural
Berbah,Sleman,49.92,39,33.54,2024,Rural
Cangkringan,Sleman,42.11,30.93,21.46,2024,Rural
Danurejan,Kota Yogyakarta,47.38,43.81,38.8,2024,Urban
Depok,Sleman,50.67,41.87,33.32,2024,Urban
Gamping,Sleman,47.92,38.98,31.92,2024,Urban
Gedongtengen,Kota Yogyakarta,47.67,44.38,40.75,2024,Urban
Godean,Sleman,47.54,37.42,30.78,2024,Urban
Gondokusuman,Kota Yogyakarta,49.61,44.93,38.8,2024,Urban
Gondomanan,Kota Yogyakarta,53.49,44.5,40.84,2024,Urban
Jetis,Bantul,46.24,39.05,33.68,2024,Rural
Jetis,Kota Yogyakarta,47.48,43.39,39.96,2024,Urban
Kalasan,Sleman,46.93,38.68,32.51,2024,Rural
Kasihan,Bantul,48.17,38.84,32.03,2024,Urban
Kotagede,Kota Yogyakarta,48.26,44.25,34.94,2024,Urban
Kraton,Kota Yogyakarta,53.39,45.96,41.31,2024,Urban
Mantrijeron,Kota Yogyakarta,48.06,43.21,37.93,2024,Urban
Mergangsan,Kota Yogyakarta,48.79,44.69,37.69,2024,Urban
Minggir,Sleman,43.74,35.82,30.81,2024,Rural
Mlati,Sleman,46.66,38.58,32.37,2024,Urban
Moyudan,Sleman,45.87,36.48,30.48,2024,Rural
Ngaglik,Sleman,47.32,37.96,31.68,2024,Urban
Ngampilan,Kota Yogyakarta,47.58,44.19,40.02,2024,Urban
Ngemplak,Sleman,46.85,36.97,31.35,2024,Urban
Pajangan,Bantul,45.11,36.99,31.69,2024,Rural
Pakem,Sleman,78.6,31.64,20.72,2024,Rural
Pakualaman,Kota Yogyakarta,47.65,45.41,42.85,2024,Urban
Piyungan,Bantul,50.52,37.71,31.3,2024,Rural
Pleret,Bantul,46.49,38.49,31.1,2024,Rural
Sedayu,Bantul,45.45,37.03,31.72,2024,Rural
Sewon,Bantul,48.32,39.54,33.41,2024,Urban
Seyegan,Sleman,42.13,36.06,30.75,2024,Rural
Sleman,Sleman,45.48,36.22,30.3,2024,Rural
Tegalrejo,Kota Yogyakarta,47.14,42.58,37.99,2024,Urban
Turi,Sleman,42.23,32.02,24.56,2024,Rural
Umbulharjo,Kota Yogyakarta,48.26,43.7,34.93,2024,Urban
Wirobrajan,Kota Yogyakarta,46.56,43.44,39,2024,Urban
