NAMOBJ,WADMKK,max,mean,min,Tahun,Zona
Banguntapan,Bantul,0.205115274,-0.14580752,-0.477755685,1999,Urban
Bantul,Bantul,0.279868938,-0.13887888,-0.510183262,1999,Rural
Berbah,Sleman,0.223826174,-0.155388292,-0.477436639,1999,Rural
Cangkringan,Sleman,0.26561624,-0.271374024,-0.579296585,1999,Rural
Danurejan,Kota Yogyakarta,0.217960485,0.082254836,-0.233620145,1999,Urban
Depok,Sleman,0.301424549,-0.087205376,-0.448671045,1999,Urban
Gamping,Sleman,0.205102077,-0.160617847,-0.534484419,1999,Urban
Gedongtengen,Kota Yogyakarta,0.208000546,0.077425784,-0.233620145,1999,Urban
Godean,Sleman,0.275185544,-0.184887001,-0.480992005,1999,Urban
Gondokusuman,Kota Yogyakarta,0.261533142,0.029783111,-0.295521097,1999,Urban
Gondomanan,Kota Yogyakarta,0.250616881,0.071568912,-0.226752564,1999,Urban
Jetis,Bantul,0.198064395,-0.177097523,-0.534235669,1999,Rural
Jetis,Kota Yogyakarta,0.271934155,0.067514811,-0.235695309,1999,Urban
Kalasan,Sleman,0.217633967,-0.159047745,-0.521531421,1999,Rural
Kasihan,Bantul,0.21659932,-0.134665483,-0.403325752,1999,Urban
Kotagede,Kota Yogyakarta,0.26644426,-0.04550769,-0.398548379,1999,Urban
Kraton,Kota Yogyakarta,0.278390348,0.06314631,-0.180082676,1999,Urban
Mantrijeron,Kota Yogyakarta,0.18578426,0.002783885,-0.306135946,1999,Urban
Mergangsan,Kota Yogyakarta,0.22224255,0.028915863,-0.341386609,1999,Urban
Minggir,Sleman,0.17359863,-0.23723685,-0.519831929,1999,Rural
Mlati,Sleman,0.231091243,-0.15794222,-0.539237442,1999,Urban
Moyudan,Sleman,0.196714377,-0.223798735,-0.471803282,1999,Rural
Ngaglik,Sleman,0.227614425,-0.139950956,-0.453369939,1999,Urban
Ngampilan,Kota Yogyakarta,0.229493859,0.084580372,-0.220885416,1999,Urban
Ngemplak,Sleman,0.278987284,-0.170040342,-0.457056445,1999,Urban
Pajangan,Bantul,0.191092878,-0.121308072,-0.534936468,1999,Rural
Pakem,Sleman,0.312760598,-0.229374245,-0.615154917,1999,Rural
Pakualaman,Kota Yogyakarta,0.371741196,0.073877234,-0.275937446,1999,Urban
Piyungan,Bantul,0.233136483,-0.11155146,-0.462499801,1999,Rural
Pleret,Bantul,0.187533219,-0.136857846,-0.473078309,1999,Rural
Sedayu,Bantul,0.202890152,-0.171796637,-0.508101071,1999,Rural
Sewon,Bantul,0.355379065,-0.157201636,-0.506902408,1999,Urban
Seyegan,Sleman,0.185622021,-0.208294064,-0.489576977,1999,Rural
Sleman,Sleman,0.329176114,-0.17280814,-0.466108627,1999,Rural
Tegalrejo,Kota Yogyakarta,0.244786107,-0.026859425,-0.388149553,1999,Urban
Turi,Sleman,0.231030532,-0.266317094,-0.48780441,1999,Rural
Umbulharjo,Kota Yogyakarta,0.371741196,-0.052651055,-0.482329946,1999,Urban
Wirobrajan,Kota Yogyakarta,0.216919357,0.024870698,-0.251698676,1999,Urban
Banguntapan,Bantul,0.294072343,-0.149012313,-0.499729035,2004,Urban
Bantul,Bantul,0.289122091,-0.213935014,-0.493849842,2004,Rural
Berbah,Sleman,0.277608938,-0.190713152,-0.695879473,2004,Rural
Cangkringan,Sleman,0.26571226,-0.274580783,-0.625246122,2004,Rural
Danurejan,Kota Yogyakarta,0.257880055,0.091340867,-0.199008255,2004,Urban
Depok,Sleman,0.292494139,-0.077328738,-0.475419094,2004,Urban
Gamping,Sleman,0.246702546,-0.173911622,-0.482880943,2004,Urban
Gedongtengen,Kota Yogyakarta,0.261574546,0.09102051,-0.236349072,2004,Urban
Godean,Sleman,0.316078794,-0.191095695,-0.434612207,2004,Urban
Gondokusuman,Kota Yogyakarta,0.302534604,0.04269392,-0.26541555,2004,Urban
Gondomanan,Kota Yogyakarta,0.308652302,0.086067109,-0.247618901,2004,Urban
Jetis,Bantul,0.154571003,-0.229365571,-0.571052324,2004,Rural
Jetis,Kota Yogyakarta,0.312379422,0.08127851,-0.265623213,2004,Urban
